Date,City,Visitors
2024-01-14,Paris,1
2024-01-14,Amsterdam,1
2024-01-14,Lisbon,2
2024-01-14,Madrid,1
2024-01-14,Florence,0
2024-01-14,London,3
2024-01-15,Rome,0
2024-01-15,Brussels,2
2024-01-15,Milan,0
2024-01-15,Dublin,0
2024-01-15,Berlin,2
2024-01-15,Prague,0
2024-01-15,Zurich,2
2024-01-15,Barcelona,7
2024-01-15,Budapest,0
2024-01-15,Vienna,1
2024-01-15,Florence,0
2024-01-15,Madrid,1
2024-01-15,London,3
2024-01-15,Munich,4
2024-01-15,Amsterdam,1
2024-01-15,Paris,1
2024-01-15,Lisbon,2
2024-01-16,Budapest,0
2024-01-16,Barcelona,7
2024-01-16,Rome,0
2024-01-16,Zurich,2
2024-01-16,Milan,0
2024-01-16,Berlin,2
2024-01-16,Dublin,0
2024-01-16,Prague,0
2024-01-16,Brussels,2
2024-01-16,Lisbon,2
2024-01-16,Florence,0
2024-01-16,Madrid,2
2024-01-16,London,4
2024-01-16,Munich,5
2024-01-16,Amsterdam,1
2024-01-16,Paris,1
2024-01-16,Vienna,1
2024-01-17,Brussels,2
2024-01-17,Milan,0
2024-01-17,Dublin,1
2024-01-17,Berlin,2
2024-01-17,Prague,0
2024-01-17,Zurich,2
2024-01-17,Rome,0
2024-01-17,Barcelona,7
2024-01-17,Budapest,0
2024-01-17,Lisbon,2
2024-01-17,Florence,0
2024-01-17,Madrid,2
2024-01-17,London,4
2024-01-17,Munich,6
2024-01-17,Amsterdam,1
2024-01-17,Paris,1
2024-01-17,Vienna,1
2024-01-18,Brussels,2
2024-01-18,Barcelona,7
2024-01-18,Dublin,1
2024-01-18,Berlin,2
2024-01-18,Prague,0
2024-01-18,Zurich,2
2024-01-18,Rome,0
2024-01-18,Budapest,0
2024-01-18,Milan,0
2024-01-18,Vienna,1
2024-01-18,Paris,1
2024-01-18,Amsterdam,1
2024-01-18,Munich,6
2024-01-18,Lisbon,2
2024-01-18,Madrid,2
2024-01-18,Florence,0
2024-01-18,London,4
2024-01-19,Brussels,2
2024-01-19,Barcelona,7
2024-01-19,Milan,0
2024-01-19,Dublin,1
2024-01-19,Berlin,1
2024-01-19,Prague,0
2024-01-19,Zurich,2
2024-01-19,Rome,0
2024-01-19,Budapest,0
2024-01-19,Lisbon,2
2024-01-19,Vienna,1
2024-01-19,Florence,0
2024-01-19,Madrid,2
2024-01-19,London,4
2024-01-19,Munich,6
2024-01-19,Amsterdam,1
2024-01-19,Paris,1
2024-01-20,Brussels,2
2024-01-20,Milan,0
2024-01-20,Dublin,2
2024-01-20,Berlin,1
2024-01-20,Prague,0
2024-01-20,Zurich,2
2024-01-20,Rome,0
2024-01-20,Barcelona,7
2024-01-20,Budapest,0
2024-01-20,Lisbon,2
2024-01-20,Vienna,0
2024-01-20,Florence,0
2024-01-20,Madrid,2
2024-01-20,London,4
2024-01-20,Munich,6
2024-01-20,Amsterdam,1
2024-01-20,Paris,1
2024-01-21,Brussels,2
2024-01-21,Milan,2
2024-01-21,Dublin,2
2024-01-21,Berlin,0
2024-01-21,Prague,0
2024-01-21,Zurich,2
2024-01-21,Rome,0
2024-01-21,Barcelona,7
2024-01-21,Budapest,0
2024-01-21,Lisbon,2
2024-01-21,Vienna,0
2024-01-21,Florence,0
2024-01-21,Madrid,3
2024-01-21,London,4
2024-01-21,Munich,6
2024-01-21,Amsterdam,1
2024-01-21,Paris,1
2024-01-22,Brussels,2
2024-01-22,Dublin,2
2024-01-22,Berlin,0
2024-01-22,Prague,0
2024-01-22,Zurich,2
2024-01-22,Rome,0
2024-01-22,Barcelona,8
2024-01-22,Budapest,0
2024-01-22,Milan,2
2024-01-22,Vienna,0
2024-01-22,Paris,1
2024-01-22,Amsterdam,1
2024-01-22,Munich,6
2024-01-22,Lisbon,2
2024-01-22,Madrid,3
2024-01-22,Florence,0
2024-01-22,London,5
2024-01-23,Brussels,2
2024-01-23,Barcelona,8
2024-01-23,Milan,2
2024-01-23,Dublin,2
2024-01-23,Berlin,0
2024-01-23,Prague,0
2024-01-23,Zurich,2
2024-01-23,Rome,0
2024-01-23,Budapest,0
2024-01-23,Lisbon,2
2024-01-23,Vienna,0
2024-01-23,Florence,0
2024-01-23,Madrid,3
2024-01-23,London,5
2024-01-23,Munich,5
2024-01-23,Amsterdam,1
2024-01-23,Paris,1
2024-01-24,Brussels,2
2024-01-24,Dublin,2
2024-01-24,Berlin,0
2024-01-24,Prague,0
2024-01-24,Zurich,2
2024-01-24,Rome,0
2024-01-24,Barcelona,9
2024-01-24,Budapest,0
2024-01-24,Milan,2
2024-01-24,Vienna,0
2024-01-24,Florence,0
2024-01-24,Madrid,3
2024-01-24,London,4
2024-01-24,Munich,5
2024-01-24,Amsterdam,3
2024-01-24,Paris,1
2024-01-24,Lisbon,2
2024-01-25,Brussels,2
2024-01-25,Dublin,1
2024-01-25,Berlin,0
2024-01-25,Prague,0
2024-01-25,Zurich,2
2024-01-25,Rome,0
2024-01-25,Barcelona,9
2024-01-25,Budapest,0
2024-01-25,Milan,2
2024-01-25,Vienna,0
2024-01-25,Florence,0
2024-01-25,Madrid,3
2024-01-25,London,4
2024-01-25,Munich,5
2024-01-25,Amsterdam,3
2024-01-25,Paris,1
2024-01-25,Lisbon,2
2024-01-26,Barcelona,10
2024-01-26,Rome,0
2024-01-26,Zurich,2
2024-01-26,Milan,2
2024-01-26,Berlin,0
2024-01-26,Dublin,0
2024-01-26,Brussels,2
2024-01-26,Prague,0
2024-01-26,Budapest,0
2024-01-26,Vienna,1
2024-01-26,Florence,0
2024-01-26,Madrid,3
2024-01-26,London,4
2024-01-26,Munich,5
2024-01-26,Amsterdam,3
2024-01-26,Paris,1
2024-01-26,Lisbon,2
2024-01-27,Brussels,2
2024-01-27,Barcelona,10
2024-01-27,Berlin,0
2024-01-27,Prague,0
2024-01-27,Zurich,2
2024-01-27,Rome,0
2024-01-27,Lisbon,2
2024-01-27,Budapest,0
2024-01-27,Florence,0
2024-01-27,Milan,2
2024-01-27,Vienna,1
2024-01-27,Paris,1
2024-01-27,Dublin,0
2024-01-27,Munich,5
2024-01-27,London,4
2024-01-27,Amsterdam,3
2024-01-27,Madrid,3
2024-01-28,Amsterdam,3
2024-01-28,Paris,1
2024-01-28,Brussels,2
2024-01-28,Milan,2
2024-01-28,Dublin,0
2024-01-28,Prague,0
2024-01-28,Zurich,2
2024-01-28,Rome,0
2024-01-28,Berlin,0
2024-01-28,Budapest,0
2024-01-28,Lisbon,2
2024-01-28,Vienna,1
2024-01-28,Florence,0
2024-01-28,Madrid,2
2024-01-28,London,4
2024-01-28,Munich,5
2024-01-28,Barcelona,10
2024-01-29,Zurich,2
2024-01-29,Brussels,2
2024-01-29,Milan,1
2024-01-29,Dublin,0
2024-01-29,Berlin,0
2024-01-29,Prague,0
2024-01-29,Rome,0
2024-01-29,Madrid,1
2024-01-29,Budapest,0
2024-01-29,Lisbon,2
2024-01-29,Vienna,1
2024-01-29,Florence,0
2024-01-29,London,4
2024-01-29,Munich,5
2024-01-29,Amsterdam,3
2024-01-29,Paris,1
2024-01-29,Barcelona,10
2024-01-30,Zurich,2
2024-01-30,Brussels,2
2024-01-30,Milan,1
2024-01-30,Dublin,0
2024-01-30,Berlin,0
2024-01-30,Prague,0
2024-01-30,Rome,0
2024-01-30,Madrid,1
2024-01-30,Budapest,0
2024-01-30,Paris,1
2024-01-30,Barcelona,9
2024-01-30,Amsterdam,4
2024-01-30,Munich,5
2024-01-30,London,5
2024-01-30,Florence,0
2024-01-30,Lisbon,2
2024-01-30,Vienna,2
2024-01-31,Brussels,2
2024-01-31,Milan,1
2024-01-31,Dublin,0
2024-01-31,Berlin,0
2024-01-31,Zurich,2
2024-01-31,Rome,0
2024-01-31,Prague,0
2024-01-31,Lisbon,2
2024-01-31,Paris,1
2024-01-31,Budapest,0
2024-01-31,Amsterdam,3
2024-01-31,Munich,5
2024-01-31,Barcelona,8
2024-01-31,Madrid,0
2024-01-31,Florence,0
2024-01-31,Vienna,2
2024-01-31,London,4
2024-02-01,Vienna,2
2024-02-01,Amsterdam,3
2024-02-01,Munich,5
2024-02-01,London,5
2024-02-01,Madrid,1
2024-02-01,Florence,0
2024-02-01,Paris,1
2024-02-01,Lisbon,2
2024-02-01,Barcelona,8
2024-02-01,Budapest,0
2024-02-01,Brussels,2
2024-02-01,Milan,1
2024-02-01,Rome,0
2024-02-01,Berlin,0
2024-02-01,Prague,0
2024-02-01,Zurich,2
2024-02-01,Dublin,0
2024-02-02,Brussels,2
2024-02-02,Milan,1
2024-02-02,Dublin,0
2024-02-02,Berlin,0
2024-02-02,Prague,0
2024-02-02,Rome,0
2024-02-02,Barcelona,11
2024-02-02,Zurich,2
2024-02-02,Lisbon,2
2024-02-02,Vienna,2
2024-02-02,Florence,0
2024-02-02,Madrid,2
2024-02-02,London,5
2024-02-02,Munich,5
2024-02-02,Amsterdam,3
2024-02-02,Paris,2
2024-02-02,Budapest,0
2024-02-03,Rome,0
2024-02-03,Milan,2
2024-02-03,Berlin,0
2024-02-03,Prague,0
2024-02-03,Zurich,2
2024-02-03,Barcelona,12
2024-02-03,Brussels,2
2024-02-03,Lisbon,2
2024-02-03,Budapest,0
2024-02-03,Paris,2
2024-02-03,Amsterdam,3
2024-02-03,Munich,5
2024-02-03,Dublin,0
2024-02-03,Madrid,2
2024-02-03,Florence,0
2024-02-03,London,5
2024-02-03,Vienna,1
2024-02-04,Milan,2
2024-02-04,Dublin,0
2024-02-04,Prague,0
2024-02-04,Zurich,2
2024-02-04,Rome,0
2024-02-04,Barcelona,13
2024-02-04,Brussels,2
2024-02-04,Lisbon,2
2024-02-04,Budapest,1
2024-02-04,Paris,2
2024-02-04,Amsterdam,3
2024-02-04,Munich,5
2024-02-04,Berlin,0
2024-02-04,Madrid,2
2024-02-04,Florence,0
2024-02-04,Vienna,1
2024-02-04,London,8
2024-02-05,Brussels,2
2024-02-05,Milan,2
2024-02-05,Dublin,0
2024-02-05,Berlin,0
2024-02-05,Prague,0
2024-02-05,Zurich,2
2024-02-05,Rome,0
2024-02-05,Budapest,1
2024-02-05,Lisbon,2
2024-02-05,Vienna,1
2024-02-05,Madrid,2
2024-02-05,London,8
2024-02-05,Munich,5
2024-02-05,Amsterdam,3
2024-02-05,Paris,2
2024-02-05,Barcelona,13
2024-02-05,Florence,0
2024-02-06,Vienna,2
2024-02-06,Amsterdam,3
2024-02-06,Brussels,2
2024-02-06,Milan,2
2024-02-06,Dublin,0
2024-02-06,Berlin,0
2024-02-06,Prague,0
2024-02-06,Zurich,2
2024-02-06,Rome,0
2024-02-06,Barcelona,15
2024-02-06,Paris,2
2024-02-06,Lisbon,2
2024-02-06,Munich,5
2024-02-06,London,8
2024-02-06,Madrid,2
2024-02-06,Budapest,1
2024-02-06,Florence,0
2024-02-07,Brussels,2
2024-02-07,Milan,2
2024-02-07,Dublin,1
2024-02-07,Berlin,0
2024-02-07,Prague,0
2024-02-07,Zurich,2
2024-02-07,Barcelona,15
2024-02-07,Budapest,1
2024-02-07,Rome,0
2024-02-07,Vienna,2
2024-02-07,Florence,0
2024-02-07,Madrid,2
2024-02-07,London,8
2024-02-07,Munich,5
2024-02-07,Amsterdam,4
2024-02-07,Paris,2
2024-02-07,Lisbon,2
2024-02-08,Barcelona,17
2024-02-08,Brussels,2
2024-02-08,Milan,3
2024-02-08,Dublin,1
2024-02-08,Berlin,0
2024-02-08,Prague,0
2024-02-08,Zurich,2
2024-02-08,Lisbon,2
2024-02-08,Rome,0
2024-02-08,Budapest,1
2024-02-08,Paris,2
2024-02-08,Amsterdam,4
2024-02-08,Munich,5
2024-02-08,Vienna,2
2024-02-08,Madrid,2
2024-02-08,Florence,0
2024-02-08,London,8
2024-02-09,Brussels,2
2024-02-09,Budapest,1
2024-02-09,Dublin,1
2024-02-09,Berlin,0
2024-02-09,Prague,0
2024-02-09,Zurich,2
2024-02-09,Rome,0
2024-02-09,Barcelona,18
2024-02-09,Milan,3
2024-02-09,Lisbon,2
2024-02-09,Florence,0
2024-02-09,Madrid,2
2024-02-09,London,8
2024-02-09,Munich,7
2024-02-09,Amsterdam,5
2024-02-09,Paris,2
2024-02-09,Vienna,2
2024-02-10,Brussels,2
2024-02-10,Milan,4
2024-02-10,Dublin,1
2024-02-10,Berlin,0
2024-02-10,Prague,0
2024-02-10,Zurich,2
2024-02-10,Rome,1
2024-02-10,Barcelona,19
2024-02-10,Budapest,1
2024-02-10,Vienna,2
2024-02-10,Lisbon,2
2024-02-10,Paris,3
2024-02-10,Amsterdam,5
2024-02-10,London,8
2024-02-10,Florence,0
2024-02-10,Madrid,3
2024-02-10,Munich,7
2024-02-11,Brussels,3
2024-02-11,Milan,4
2024-02-11,Dublin,1
2024-02-11,Berlin,0
2024-02-11,Prague,1
2024-02-11,Zurich,2
2024-02-11,Barcelona,20
2024-02-11,Budapest,1
2024-02-11,Rome,1
2024-02-11,Vienna,2
2024-02-11,Florence,0
2024-02-11,Madrid,3
2024-02-11,London,8
2024-02-11,Munich,7
2024-02-11,Amsterdam,5
2024-02-11,Paris,3
2024-02-11,Lisbon,2
2024-02-12,Barcelona,20
2024-02-12,Brussels,3
2024-02-12,Zurich,2
2024-02-12,Milan,4
2024-02-12,Berlin,0
2024-02-12,Dublin,1
2024-02-12,Budapest,1
2024-02-12,Prague,1
2024-02-12,Rome,1
2024-02-12,Lisbon,2
2024-02-12,Florence,0
2024-02-12,Madrid,3
2024-02-12,London,8
2024-02-12,Munich,7
2024-02-12,Amsterdam,6
2024-02-12,Paris,4
2024-02-12,Vienna,3
2024-02-13,Brussels,3
2024-02-13,Milan,4
2024-02-13,Dublin,1
2024-02-13,Berlin,1
2024-02-13,Prague,1
2024-02-13,Zurich,2
2024-02-13,Rome,1
2024-02-13,Barcelona,20
2024-02-13,Budapest,1
2024-02-13,Vienna,3
2024-02-13,Florence,0
2024-02-13,Madrid,3
2024-02-13,London,9
2024-02-13,Munich,7
2024-02-13,Amsterdam,6
2024-02-13,Paris,4
2024-02-13,Lisbon,2
2024-02-14,Barcelona,19
2024-02-14,Rome,1
2024-02-14,Zurich,2
2024-02-14,Milan,4
2024-02-14,Berlin,1
2024-02-14,Dublin,1
2024-02-14,Brussels,3
2024-02-14,Prague,1
2024-02-14,Budapest,1
2024-02-14,Lisbon,2
2024-02-14,Florence,0
2024-02-14,Madrid,3
2024-02-14,London,9
2024-02-14,Munich,7
2024-02-14,Amsterdam,7
2024-02-14,Paris,4
2024-02-14,Vienna,3
2024-02-15,Brussels,3
2024-02-15,Milan,4
2024-02-15,Dublin,1
2024-02-15,Berlin,1
2024-02-15,Prague,1
2024-02-15,Zurich,2
2024-02-15,Rome,1
2024-02-15,Barcelona,22
2024-02-15,Budapest,2
2024-02-15,Vienna,3
2024-02-15,Florence,0
2024-02-15,Madrid,3
2024-02-15,London,9
2024-02-15,Munich,7
2024-02-15,Amsterdam,7
2024-02-15,Paris,4
2024-02-15,Lisbon,2
2024-02-16,Barcelona,23
2024-02-16,Rome,1
2024-02-16,Zurich,2
2024-02-16,Prague,1
2024-02-16,Brussels,3
2024-02-16,Dublin,1
2024-02-16,Milan,4
2024-02-16,Berlin,1
2024-02-16,Budapest,2
2024-02-16,Lisbon,2
2024-02-16,Vienna,4
2024-02-16,Florence,0
2024-02-16,Madrid,3
2024-02-16,London,8
2024-02-16,Munich,7
2024-02-16,Amsterdam,8
2024-02-16,Paris,4
2024-02-17,Brussels,3
2024-02-17,Milan,4
2024-02-17,Dublin,2
2024-02-17,Berlin,1
2024-02-17,Prague,1
2024-02-17,Zurich,2
2024-02-17,Rome,1
2024-02-17,Barcelona,24
2024-02-17,Budapest,2
2024-02-17,Lisbon,2
2024-02-17,Vienna,4
2024-02-17,Florence,0
2024-02-17,Madrid,3
2024-02-17,London,8
2024-02-17,Munich,7
2024-02-17,Amsterdam,8
2024-02-17,Paris,6
2024-02-18,Milan,4
2024-02-18,Dublin,2
2024-02-18,Berlin,1
2024-02-18,Prague,1
2024-02-18,Brussels,3
2024-02-18,Rome,1
2024-02-18,Barcelona,24
2024-02-18,Budapest,2
2024-02-18,Zurich,2
2024-02-18,Vienna,4
2024-02-18,Florence,0
2024-02-18,Madrid,3
2024-02-18,London,7
2024-02-18,Munich,7
2024-02-18,Amsterdam,7
2024-02-18,Paris,6
2024-02-18,Lisbon,2
2024-02-19,Rome,1
2024-02-19,Zurich,2
2024-02-19,Prague,1
2024-02-19,Brussels,3
2024-02-19,Dublin,2
2024-02-19,Milan,5
2024-02-19,Barcelona,25
2024-02-19,Berlin,1
2024-02-19,Budapest,2
2024-02-19,Lisbon,2
2024-02-19,Vienna,4
2024-02-19,Florence,0
2024-02-19,Madrid,3
2024-02-19,London,7
2024-02-19,Munich,7
2024-02-19,Amsterdam,7
2024-02-19,Paris,6
2024-02-20,Milan,5
2024-02-20,Dublin,2
2024-02-20,Berlin,1
2024-02-20,Prague,1
2024-02-20,Brussels,3
2024-02-20,Rome,2
2024-02-20,Barcelona,24
2024-02-20,Budapest,2
2024-02-20,Zurich,2
2024-02-20,Vienna,5
2024-02-20,Florence,0
2024-02-20,Madrid,3
2024-02-20,London,10
2024-02-20,Munich,7
2024-02-20,Amsterdam,7
2024-02-20,Paris,6
2024-02-20,Lisbon,3
2024-02-21,Brussels,3
2024-02-21,Milan,5
2024-02-21,Dublin,2
2024-02-21,Berlin,1
2024-02-21,Prague,1
2024-02-21,Rome,2
2024-02-21,Barcelona,24
2024-02-21,Budapest,2
2024-02-21,Zurich,2
2024-02-21,Vienna,5
2024-02-21,Florence,0
2024-02-21,Madrid,3
2024-02-21,London,10
2024-02-21,Munich,7
2024-02-21,Amsterdam,7
2024-02-21,Paris,6
2024-02-21,Lisbon,4
2024-02-22,Prague,1
2024-02-22,Zurich,2
2024-02-22,Rome,2
2024-02-22,Barcelona,24
2024-02-22,Budapest,1
2024-02-22,Lisbon,4
2024-02-22,Vienna,5
2024-02-22,Munich,7
2024-02-22,Madrid,3
2024-02-22,London,10
2024-02-22,Amsterdam,8
2024-02-22,Paris,7
2024-02-22,Brussels,3
2024-02-22,Milan,5
2024-02-22,Florence,0
2024-02-22,Berlin,1
2024-02-22,Dublin,2
2024-02-23,Milan,6
2024-02-23,Brussels,3
2024-02-23,Berlin,1
2024-02-23,Prague,1
2024-02-23,Zurich,2
2024-02-23,Rome,2
2024-02-23,Budapest,1
2024-02-23,Lisbon,4
2024-02-23,Barcelona,24
2024-02-23,Florence,0
2024-02-23,Madrid,3
2024-02-23,London,10
2024-02-23,Munich,8
2024-02-23,Amsterdam,9
2024-02-23,Paris,7
2024-02-23,Dublin,2
2024-02-23,Vienna,5
2024-02-24,Zurich,4
2024-02-24,Brussels,3
2024-02-24,Milan,6
2024-02-24,Dublin,2
2024-02-24,Berlin,1
2024-02-24,Prague,1
2024-02-24,Rome,2
2024-02-24,Florence,0
2024-02-24,Budapest,1
2024-02-24,Lisbon,4
2024-02-24,Vienna,5
2024-02-24,Madrid,3
2024-02-24,London,8
2024-02-24,Munich,8
2024-02-24,Amsterdam,8
2024-02-24,Paris,7
2024-02-24,Barcelona,25
2024-02-25,Rome,1
2024-02-25,Brussels,3
2024-02-25,Milan,6
2024-02-25,Dublin,2
2024-02-25,Prague,2
2024-02-25,Zurich,4
2024-02-25,Barcelona,25
2024-02-25,Berlin,1
2024-02-25,Lisbon,4
2024-02-25,Vienna,5
2024-02-25,Florence,0
2024-02-25,Paris,6
2024-02-25,Madrid,3
2024-02-25,London,8
2024-02-25,Munich,8
2024-02-25,Amsterdam,8
2024-02-25,Budapest,1
2024-02-26,Brussels,3
2024-02-26,Milan,6
2024-02-26,Dublin,2
2024-02-26,Berlin,2
2024-02-26,Prague,2
2024-02-26,Zurich,4
2024-02-26,Rome,1
2024-02-26,Barcelona,25
2024-02-26,Budapest,1
2024-02-26,Lisbon,4
2024-02-26,Vienna,4
2024-02-26,Florence,0
2024-02-26,Madrid,3
2024-02-26,London,8
2024-02-26,Munich,9
2024-02-26,Amsterdam,8
2024-02-26,Paris,6
2024-02-27,Brussels,3
2024-02-27,Milan,6
2024-02-27,Dublin,1
2024-02-27,Berlin,3
2024-02-27,Prague,2
2024-02-27,Zurich,4
2024-02-27,Rome,1
2024-02-27,Paris,6
2024-02-27,Budapest,1
2024-02-27,Lisbon,4
2024-02-27,Vienna,4
2024-02-27,Florence,0
2024-02-27,Madrid,3
2024-02-27,London,8
2024-02-27,Munich,9
2024-02-27,Amsterdam,7
2024-02-27,Barcelona,24
2024-02-28,Zurich,4
2024-02-28,Brussels,4
2024-02-28,Milan,7
2024-02-28,Dublin,1
2024-02-28,Berlin,3
2024-02-28,Prague,2
2024-02-28,Rome,1
2024-02-28,Florence,0
2024-02-28,Budapest,1
2024-02-28,Lisbon,4
2024-02-28,Vienna,4
2024-02-28,Paris,5
2024-02-28,Madrid,3
2024-02-28,London,8
2024-02-28,Munich,9
2024-02-28,Barcelona,23
2024-02-28,Amsterdam,7
2024-02-29,Brussels,4
2024-02-29,Milan,7
2024-02-29,Dublin,1
2024-02-29,Berlin,3
2024-02-29,Prague,2
2024-02-29,Zurich,4
2024-02-29,Rome,1
2024-02-29,Barcelona,23
2024-02-29,Budapest,1
2024-02-29,Lisbon,4
2024-02-29,Vienna,4
2024-02-29,Florence,0
2024-02-29,Madrid,3
2024-02-29,London,8
2024-02-29,Munich,10
2024-02-29,Amsterdam,7
2024-02-29,Paris,5
